actor_last_name,actor_id,film_id,actor_first_name,film_title
GUINESS,1,1,PENELOPE,ACADEMY DINOSAUR
GUINESS,1,23,PENELOPE,ANACONDA CONFESSIONS
GUINESS,1,25,PENELOPE,ANGELS LIFE
GUINESS,1,106,PENELOPE,BULWORTH COMMANDMENTS
GUINESS,1,140,PENELOPE,CHEAPER CLYDE
GUINESS,1,166,PENELOPE,COLOR PHILADELPHIA
GUINESS,1,277,PENELOPE,ELEPHANT TROJAN
GUINESS,1,361,PENELOPE,GLEAMING JAWBREAKER
GUINESS,1,438,PENELOPE,HUMAN GRAFFITI
GUINESS,1,499,PENELOPE,KING EVOLUTION
GUINESS,1,506,PENELOPE,LADY STAGE
GUINESS,1,509,PENELOPE,LANGUAGE COWBOY
GUINESS,1,605,PENELOPE,MULHOLLAND BEAST
GUINESS,1,635,PENELOPE,OKLAHOMA JUMANJI
GUINESS,1,749,PENELOPE,RULES HUMAN
GUINESS,1,832,PENELOPE,SPLASH GUMP
GUINESS,1,939,PENELOPE,VERTIGO NORTHWEST
GUINESS,1,970,PENELOPE,WESTWARD SEABISCUIT
GUINESS,1,980,PENELOPE,WIZARD COLDBLOODED
WAHLBERG,2,3,NICK,ADAPTATION HOLES
WAHLBERG,2,31,NICK,APACHE DIVINE
WAHLBERG,2,47,NICK,BABY HALL
WAHLBERG,2,105,NICK,BULL SHAWSHANK
WAHLBERG,2,132,NICK,CHAINSAW UPTOWN
WAHLBERG,2,145,NICK,CHISUM BEHAVIOR
WAHLBERG,2,226,NICK,DESTINY SATURDAY
WAHLBERG,2,249,NICK,DRACULA CRYSTAL
WAHLBERG,2,314,NICK,FIGHT JAWBREAKER
WAHLBERG,2,321,NICK,FLASH WARS
WAHLBERG,2,357,NICK,GILBERT PELICAN
WAHLBERG,2,369,NICK,GOODFELLAS SALUTE
WAHLBERG,2,399,NICK,HAPPINESS UNITED
WAHLBERG,2,458,NICK,INDIAN LOVE
WAHLBERG,2,481,NICK,JEKYLL FROGMEN
