"actor_id","actor_name"
"4799","Kali Rocha"
"4800",""
"4801","Rachel True"
"4802","Alex Daniels"
"4803","Grace Thorsen"
"4804","Julie Bishop"
"4805","John Wojtowicz"
"4806","Ralph Molina"
"4807","Bill Haugland"
"4808","Toby Froud"
"4809","Cicely Tyson"
"4810","Tinka Menkes"
"4811","Cindy Baer"
"4812","Veerle Baetens"
"4813","Michael Hitchcock"
"4814","Kristin Chenoweth"
"4815","Douglas Keay"
"4816","Brooklynn Proulx"
"4817","Nikolay Sergeev"
"4818","Kari Heiskanen"
"4819","Stevie Wonder"
"4820","Mark Cirillo"
"4821","Steven Duffy"
"4822","Robbie Robertson"
"4823","Raymond Walburn"
"4824","Julia Foster"
"4825","Ashraf Barhom"
"4826","Miki Kim"
"4827","Jennifer Warren"
"4828","Debra Feuer"
"4829","Artur Barcis"
"4830","Eric Mabius"
"4831","Linas Phillips"
"4832","Robert Paterson"
"4833","Sherrod Small"
"4834","Tony Jaa"
"4835","Andrew Braunsberg"
"4836","Xantha Radley"
"4837","Bengt Ekerot"
"4838","Shane Brolly"
"4839","Irene Miracle"
"4840","Ida Lupino"
"4841","Emma Thompson"
"4842","Tom Prior"
"4843","Marc Michel"
"4844","Angie Dickinson"
"4845","Débora Bloch"
"4846","Devon Sawa"
"4847","Melissa Prophet"
"4848","Andrea Eckert"
"4849","Corey Johnson"
"4850","Vanessa Lengies"
"4851","Michael Durrell"
"4852","Burt Young"
"4853","Cornelia Froboess"
"4854","Glory Annen"
"4855","Lee Marvin"
"4856","Stanley Kubrick"
"4857","Kiran Shah"
"4858","Ron Jeremy"
"4859","Sam Huntington"
"4860","Sarita Khajuria"
"4861","Glen D. Hardin"
"4862","Matthew Laurance"
"4863","Olivia Pigeot"
"4864","Rachel Howe"
"4865","LisaGay Hamilton"
"4866","Howland Chamberlain"
"4867","David Bowie"
"4868","Leigh Taylor-Young"
"4869","Amy Yasbeck"
"4870","Elli"
"4871","Sarah Gerhardt"
"4872","Liam Neeson"
"4873","Barbara Harris"
"4874","Charli Barcena"
"4875","Kôichi Satô"
"4876","Klaus Büchner"
"4877","Basil Wallace"
"4878","Ray Bolger"
"4879","Justin Bartha"
"4880","Robert Forster"
"4881","Alfie Owen"
"4882","Victor Garber"
"4883","Vicky Haughton"
"4884","Rosamund Pike"
"4885","Stephen McHattie"
"4886","Y.K. Kim"
"4887","Michel Côté"
"4888","Haya Harareet"
"4889","Ron Marquette"
"4890","Heather Mitchell"
"4891","Victoria Smurfit"
"4892","Olga Mironova"
"4893","Miriam Cooper"
"4894","Amanda Peet"
"4895","John Qualen"
"4896","E.G. Marshall"
"4897","Reinhold Schünzel"
"4898","Trond Fausa"
"4899","Mare Winningham"
"4900","Fred A. Leuchter Jr."
"4901","Wyatt Knight"
"4902","Danny Kaye"
"4903","John Linnell"
"4904","Apollonia Kotero"
"4905","Matthew Lawrence"
"4906","Robin Berry"
"4907","Zach Woods"
"4908","Larry Fessenden"
"4909","Charles Adler"
"4910","John Krasinski"
"4911","Mia Bendixsen"
"4912","Alice Cooper"
"4913","Shadi Almassizadeh"
"4914","Ahd"
"4915","Rory Calhoun"
"4916","Tim Mirkovich"
"4917","Edward G. Robinson"
"4918","Harland Williams"
"4919","Colleen Rennison"
"4920","Tenae Downing"
"4921","Joanne Dru"
"4922","Gene Simmons"
"4923","Ethan Suplee"
"4924","Demi Lovato"
"4925","Lawrence Chou"
"4926","Karyn Parsons"
"4927","Amy Wright"
"4928","Rachel McAdams"
"4929","Shyann McClure"
"4930","Richard Whorf"
"4931","Ben Whishaw"
"4932","Ramon O. Torres"
"4933","Shawnee Smith"
"4934","Jason Liebrecht"
"4935","Steve Berg"
"4936","Teller"
"4937","Mihaly Csikszentmihalyi"
"4938","Michael Clark"
"4939","Yasuko Sanjo"
"4940","Jaime Gomez"
"4941","Christina Brucato"
"4942","Benjamin Ungar"
"4943","Wendy O. Williams"
"4944","John Vernon"
"4945","Kevin O'Morrison"
"4946","Lola Dueñas"
"4947","Dominic Dierkes"
"4948","Vanessa Ferlito"
"4949","Martin Milner"
"4950","Micheline Lanctôt"
"4951","Simon Amédé"
"4952","Esther Blaser-Tokarev"
"4953","Cynthia Gibb"
"4954","Stephanie LaFarge"
"4955","Michael Sacks"
"4956","Tova Stewart"
"4957","Tony Allen"
"4958","Rahul Dev"
"4959","Vanessa Chong"
"4960","Larry Flynt"
"4961","Clark Brandon"
"4962","James Dunn"
"4963","Michel Ray"
"4964","Morgan Freeman"
"4965","Quinn Lord"
"4966","Laila Morse"
"4967","Katherine Bean"
"4968","Brittany Daniel"
"4969","Kurt Raab"
"4970","Luiz Fernando Guimarães"
"4971","John Pyper-Ferguson"
"4972","Rick Hearst"
"4973","Eugenia Yuan"
"4974","Shon Greenblatt"
"4975","Simon Merrells"
"4976","Nancy Wolfe"
"4977","Xiaogang Feng"
"4978","Carole Morison"
"4979","Nancy Cartwright"
"4980","Nino Martini"
"4981","Ann Altieri"
"4982","Susan Ursitti"
"4983","Sandra Prinsloo"
