"director_id","director_name"
"671","Simon Langton"
"672","Steven Brill"
"673","Ron Underwood"
"674","Kurt Miller"
"675","Paul Bogart"
"676","Alejandro Agresti"
"677","Robert Harmon"
"678","Malika Zouhali-Worrall"
"679","Roberts Gannaway"
"680","John Schultz"
"681","William A. Seiter"
"682","Peter R. Simpson"
"683","Scot McFadyen"
"684","Francine McDougall"
"685","Stuart Gordon"
"686","John Hamburg"
"687","Richard Shepard"
"688","Rick Moranis"
"689","Jennifer Jason Leigh"
"690","Jennifer Flackett"
"691","Noel Buckner"
"692","Mike Hodges"
"693","François Girard"
"694","Howard Franklin"
"695","Stuart Rosenberg"
"696","Perry Henzell"
"697","Ben Elton"
"698","Nigel Finch"
"699","Michael Armstrong"
"700","Jim O'Connolly"
"701","Blair Treu"
"702","Stephen Kijak"
"703","Steve Oedekerk"
"704","Tony Jaa"
"705","P.J. Hogan"
"706","David M. Evans"
"707","Ralph Eggleston"
"708","Félix Sabroso"
"709","Charles Brabin"
"710","Jacob Kornbluth"
"711","Kevin Donovan"
"712","Mimi Leder"
"713","John Carl Buechler"
"714","Jack Fisk"
"715","Doug Sweetland"
"716","Ida Lupino"
"717","Marek Mackovic"
"718","Mark Neveldine"
"719","Roy Allen Smith"
"720","Igor Kovalyov"
"721","Jesús Salvador Treviño"
"722","Karan Johar"
"723","Roko Belic"
"724","Gary Preisler"
"725","John Gatins"
"726","Nicolas Servide"
"727","Bruce Robinson"
"728","Ádám Császi"
"729","Nigel Cole"
"730","Art Clokey"
"731","Sidney Lumet"
"732","Frederic Lumiere"
"733","Lionel C. Martin"
"734","Pierre De Moro"
"735","Paul Mazursky"
"736","Stanley Kubrick"
"737","Dan Riba"
"738","Robert Barry Ptolemy"
"739","Brian Percival"
"740","Jan Pinkava"
"741","Lee Daniels"
"742","Sergei M. Eisenstein"
"743","Adam Marcus"
"744","Jessica Joy Wise"
"745","Ana Kokkinos"
"746","David Nutter"
"747","Fabián Bielinsky"
"748","Richard Williams"
"749","Jerusha Hess"
"750","Steve McQueen"
"751","Marc Levin"
"752","Alan Jacobs"
"753","Richard Berge"
"754","Len Wiseman"
"755","Ryan Coogler"
"756","Antonio Margheriti"
"757","Robert C. Ramirez"
"758","Allan A. Goldstein"
"759","Peter Berg"
"760","Fredrik Bond"
"761","Gabriel Axel"
"762","Larysa Kondracki"
"763","Boris Sagal"
"764","Clyde Bruckman"
"765","Y.K. Kim"
"766","Aleksey Balabanov"
"767","Rob Minkoff"
"768","Luc Dardenne"
"769","Jeannot Szwarc"
"770","Ben Lewin"
"771","Roger Corman"
"772","Billy Morrissette"
"773","Dave Monahan"
"774","Michael Spierig"
"775","Ana Lily Amirpour"
"776","George Bowers"
"777","Irvin S. Yeaworth Jr."
"778","Mark Pavia"
"779","Ti West"
"780","Andrés Wood"
"781","Richard Gordon"
"782","Anton Leader"
"783","Hugh Johnson"
"784","Leslie Megahey"
"785","Spike Jonze"
"786","Chris Bell"
"787","Mike Cahill"
"788","Keanu Reeves"
"789","Eric Schaeffer"
"790","Troy Miller"
"791","Brett Thompson"
"792","Hiroyuki Morita"
"793","Lon Chaney"
"794","Jim Sheridan"
"795","Barry Alexander Brown"
"796","Max Mayer"
"797","Kinji Fukasaku"
"798","Pierre Morel"
"799","James Cameron"
"800","Bradley King"
"801","John Francis Daley"
"802","Andrei Tarkovsky"
"803","Philippe Claudel"
"804","Tony Giglio"
"805","Mark Malone"
"806","Keith Parmer"
"807","Ben Bolt"
"808","Chadd Harbold"
"809","Adam Rodgers"
"810","Loveleen Tandan"
"811","Sean Durkin"
"812","Cristina Bocchialini"
"813","Rémi Bezançon"
"814","Hideaki Anno"
"815","Tim Hill"
"816","Pier Paolo Pasolini"
"817","Richard Fleischer"
"818","Piers Haggard"
"819","Eric Meza"
"820","Joshua Logan"
"821","Geoffrey Fletcher"
"822","Anne Sundberg"
"823","Mark Rosman"
"824","Emmett Malloy"
"825","Alejo Crisóstomo"
"826","Charles Matthau"
"827","Doug Ellin"
"828","John Stevenson"
"829","Alexander Payne"
"830","Tony Kaye"
"831","Ken Wiederhorn"
"832","Kirk De Micco"
"833","Larry Clark"
"834","Richard Glatzer"
"835","Liz Garbus"
"836","Ted Berman"
"837","Jeong-beom Lee"
"838","Alex Garland"
"839","Joseph Vilsmaier"
"840","Gérard Mordillat"
"841","Martin Scorsese"
"842","Andrew Loo"
"843","Kieron J. Walsh"
"844","Rebecca Miller"
"845","Michael Grossman"
"846","Tran Anh Hung"
"847","Peter Sohn"
"848","Mark Duplass"
"849","Hiromasa Yonebayashi"
"850","William Wyler"
"851","Karen Harley"
"852","Leon Ichaso"
"853","Tom Mankiewicz"
"854","Bart Freundlich"
"855","Cain Kuga"
"856","Robert Mitchum"
"857","Yongyoot Thongkongtoon"
"858","Aimee Lagos"
"859","Ki-duk Kim"
"860","Arne Glimcher"
"861","John Huston"
"862","Tim Kirkman"
"863","Ramón Menéndez"
"864","Russell S. Doughten Jr."
"865","Shigeyasu Yamauchi"
"866","Kevin Reynolds"
"867","George Cukor"
"868","Christopher Reeve"
"869","Robert Hiltzik"
"870","Bruce Kimmel"
"871","Guillermo del Toro"
"872","Xavier Palud"
"873","Darren Stein"
"874","Martin Curland"
"875","James Merendino"
"876","Kátia Lund"
"877","Nancy Walker"
"878","Richard Brooks"
"879","Steven Feder"
"880","Hong-jin Na"
"881","Denny Tedesco"
"882","Udayan Prasad"
"883","Gough Lewis"
"884","David Veloz"
"885","Michael Hofmann"
"886","Yves Angelo"
"887","Ken Shapiro"
"888","John Waters"
"889","George Hickenlooper"
"890","Greg Berlanti"
"891","Garry Marshall"
"892","Charles Martin Smith"
"893","Hugh Laurie"
"894","Conrad Vernon"
"895","Michael Carreras"
"896","Srdjan Spasojevic"
"897","John Gray"
"898","Hendrik Hölzemann"
"899","Zach Helm"
"900","Stephen Kessler"
"901","Ian MacNaughton"
"902","Jim Drake"
"903","Anand Tucker"
"904","Spike Lee"
"905","Ferzan Ozpetek"
"906","Jeff Bleckner"
"907","Jack N. Green"
"908","Christian Vincent"
"909","Patrick Gilmore"
"910","Stephen Walker"
"911","Leslye Headland"
"912","Justin Lo"
"913","Richard Bates Jr."
"914","Dan Eckman"
"915","Q. Allan Brocka"
"916","Milos Forman"
"917","Howard Hawks"
"918","Tim Blake Nelson"
"919","Jordan Vogt-Roberts"
"920","Mark Waters"
"921","Otto Bathurst"
"922","Philippe de Broca"
"923","Katherine Fairfax Wright"
"924","Zacharias Kunuk"
"925","Melanie Mayron"
"926","Bård Breien"
"927","Matthew Warchus"
