"movie_id","movie_title_en","movie_title_fr","movie_year"
"20796","Toy Story","Toy Story","1995"
"20797","Jumanji","Jumanji","1995"
"20798","Grumpier Old Men","Les Grincheux 2","1995"
"20799","Waiting to Exhale","Où sont les hommes ?","1995"
"20800","Father of the Bride Part II","Le Père de la mariée 2","1995"
"20801","Heat","Heat","1995"
"20802","Sabrina","Sabrina","1995"
"20803","Tom and Huck","Tom et Huck","1995"
"20804","Sudden Death","Mort subite","1995"
"20805","GoldenEye","GoldenEye","1995"
"20806","The American President","Le Président et Miss Wade","1995"
"20807","Dracula: Dead and Loving It","Dracula, mort et heureux de l'être","1995"
"20808","Balto","Balto","1995"
"20809","The Fighter","Fighter","2010"
"20810","Nixon","Nixon","1995"
"20811","Cutthroat Island","L'Île aux pirates","1995"
"20812","Casino","Casino","1995"
"20813","Sense and Sensibility","Raison et Sentiments","1995"
"20814","Replicant","Replicant","2001"
"20815","Four Rooms","Groom Service","1995"
"20816","Horns","Horns","2014"
"20817","Ace Ventura: When Nature Calls","Ace Ventura en Afrique","1995"
"20818","Money Train","Money Train","1995"
"20819","Get Shorty","Get Shorty","1995"
"20820","Copycat","Copycat","1995"
"20821","Assassins","Assassins","1995"
"20822","Powder","Powder","1995"
"20823","Leaving Las Vegas","Leaving Las Vegas","1995"
"20824","Othello","Othello","1995"
"20825","Now and Then","Souvenirs d'un été","1995"
"20826","Persuasion","Persuasion","1995"
"20827","The Romantics","Les Meilleurs Amis","2010"
"20828","The City of Lost Children","La Cité des enfants perdus","1995"
"20829","Satan's Brew","Le Rôti de Satan","1976"
"20830","Shanghai Triad","Shanghai Triad","1995"
"20831","Passengers","Les Passagers","2008"
"20832","Dangerous Minds","Esprits rebelles","1995"
"20833","Twelve Monkeys","L'Armée des douze singes","1995"
"20834","Babe","Babe, le cochon devenu berger","1995"
"20835","Carrington","Carrington","1995"
"20836","Dead Man Walking","La Dernière Marche","1995"
"20837","Across the Sea of Time","Across the Sea of Time","1995"
"20838","It Takes Two","Papa, j'ai une maman pour toi","1995"
"20839","Clueless","Clueless","1995"
"20840","Cry, the Beloved Country","Pleure, ô pays bien-aimé","1995"
"20841","The Tale of Despereaux","La Légende de Despereaux","2008"
"20842","Richard III","Richard III","1995"
"20843","Dead Presidents","Génération sacrifiée","1995"
"20844","Restoration","Le Don du roi","1995"
"20845","Mortal Kombat","Mortal Kombat","1995"
"20846","To Die For","Prête à tout","1995"
"20847","How to Make an American Quilt","Le Patchwork de la vie","1995"
"20848","Seven","Seven","1995"
"20849","Pocahontas","Pocahontas","1995"
"20850","Bride Wars","Meilleures Ennemies","2009"
"20851","When Night Is Falling","When Night Is Falling","1995"
"20852","The Usual Suspects","Usual Suspects","1995"
"20853","Mighty Aphrodite","Maudite Aphrodite","1995"
"20854","Lamerica","Lamerica","1994"
"20855","The Big Green","The Big Green","1995"
"20856","Georgia","Georgia","1995"
"20857","Home for the Holidays","Week-end en famille","1995"
"20858","Sexmission","Sexmission","1984"
"20859","The Postman","Postman","1994"
"20860","The Confessional","Le Confessionnal","1995"
"20861","The Indian in the Cupboard","L'Indien du placard","1995"
"20862","Eye for an Eye","Au-delà des lois","1996"
"20863","Mr. Holland's Opus","Professeur Holland","1995"
"20864","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Spoof Movie","1996"
"20865","Two if by Sea","Two if by Sea","1996"
"20866","My Bloody Valentine 3-D","Meurtres à la St-Valentin","2009"
"20867","Halo 4: Forward Unto Dawn","Halo 4 : L'Aube de l'espérance","2012"
"20868","Bio-Dome","Bio-Dome","1996"
"20869","Lawnmower Man 2: Beyond Cyberspace","Le Cobaye 2","1996"
"20870","French Twist","Gazon maudit","1995"
"20871","For Your Consideration","For Your Consideration","2006"
"20872","Friday","Friday","1995"
"20873","From Dusk Till Dawn","Une nuit en enfer","1996"
"20874","Fair Game","Fair Game","1995"
"20875","Kicking and Screaming","Kicking and Screaming","1995"
"20876","Vincent","Vincent","1982"
"20877","Les Misérables","Les Misérables","1995"
"20878","Street Fight","Street Fight","2005"
"20879","Bed of Roses","Pluie de roses sur Manhattan","1996"
"20880","Two Night Stand","Two Night Stand","2014"
"20881","Screamers","Planète hurlante","1995"
"20882","Waterloo Bridge","La Valse dans l'ombre","1940"
"20883","Nico Icon","Nico Icon","1995"
"20884","The Crossing Guard","Crossing Guard","1995"
"20885","The Juror","La Jurée","1996"
"20886","SS Experiment Love Camp","Horreurs nazies","1976"
"20887","The White Balloon","Le Ballon blanc","1995"
"20888","Things to Do in Denver When You're Dead","Dernières heures à Denver","1995"
"20889","Antonia's Line","Antonia et ses filles","1995"
"20890","Once Upon a Time... When We Were Colored","Once Upon a Time... When We Were Colored","1995"
"20891","Last Summer in the Hamptons","Last Summer in the Hamptons","1995"
"20892","Angels and Insects","Des anges et des insectes","1995"
"20893","The Sorrow and the Pity","Le Chagrin et la Pitié","1969"
"20894","White Squall","Lame de fond","1996"
"20895","Dunston Checks In","Dunston : Panique au palace","1996"
"20896","Black Sheep","Black Sheep","1996"
"20897","Nick of Time","Meurtre en suspens","1995"
"20898","Mary Reilly","Mary Reilly","1996"
"20899","Vampire in Brooklyn","Un vampire à Brooklyn","1995"
"20900","Beautiful Girls","Beautiful Girls","1996"
"20901","Broken Arrow","Broken Arrow","1996"
"20902","In the Bleak Midwinter","Au beau milieu de l'hiver","1995"
"20903","Hate","Haine","1995"
"20904","Shopping","Shopping","1994"
"20905","Phoenix","Phoenix","2014"
"20906","Heidi Fleiss: Hollywood Madam","Heidi Fleiss: Hollywood Madam","1995"
"20907","City Hall","City Hall","1996"
"20908","Bottle Rocket","Bottle Rocket","1996"
"20909","Mr. Wrong","Mr. Wrong","1996"
"20910","Unforgettable","Mémoires suspectes","1996"
"20911","Aspen","Aspen","1991"
"20912","Happy Gilmore","Happy Gilmore","1996"
"20913","The Bridges of Madison County","Sur la route de Madison","1995"
"20914","Dracula Untold","Dracula Untold","2014"
"20915","Muppet Treasure Island","L'Île au trésor des Muppets","1996"
"20916","Timecrimes","Timecrimes","2007"
"20917","Catwalk","Catwalk","1996"
"20918","Braveheart","Braveheart","1995"
"20919","Taxi Driver","Taxi Driver","1976"
"20920","The Beatles: Eight Days a Week - The Touring Years","The Beatles: Eight Days a Week","2016"
"20921","Rumble in the Bronx","Jackie Chan dans le Bronx","1995"
"20922","Before and After","Le Poids du déshonneur","1996"
"20923","Shooting Dogs","Shooting Dogs","2005"
"20924","Margaret's Museum","Margaret's Museum","1995"
"20925","The Big Store","Les Marx au grand magasin","1941"
"20926","Cocaine Cowboys II: Hustlin' With the Godmother","Cocaine Cowboys II: Hustlin' With the Godmother","2008"
"20927","Anne Frank Remembered","Anne Frank Remembered","1995"
"20928","The Tillman Story","The Tillman Story","2010"
"20929","The Young Poisoner's Handbook","The Young Poisoner's Handbook","1995"
"20930","If Lucy Fell","If Lucy Fell","1996"
"20931","Steal Big, Steal Little","Steal Big, Steal Little","1995"
"20932","Casino Royale","Casino Royale","2006"
"20933","The Loved Ones","The Loved Ones","2009"
"20934","The Boys of St. Vincent","The Boys of St. Vincent","1992"
"20935","Boomerang","Boomerang","1992"
"20936","Happy Feet","Happy Feet","2006"
"20937","Chungking Express","Chungking Express","1994"
"20938","The Star Maker","Marchand de rêves","1995"
"20939","Ivan's Childhood","L'Enfance d'Ivan","1962"
"20940","Flirting With Disaster","Flirter avec les embrouilles","1996"
"20941","The NeverEnding Story III","L'Histoire sans fin 3 : Retour à Fantasia","1994"
"20942","Déjà Vu","Déjà vu","2006"
"20943","Bobby","Bobby","2006"
"20944","Hamlet","Hamlet","2000"
"20945","Pie in the Sky","Pie in the Sky","1996"
"20946","Angela","Angela","1995"
"20947","A Trip to the Moon","Le Voyage dans la Lune","1902"
"20948","Frankie Starlight","Frankie Starlight","1995"
"20949","Stretch","Stretch","2014"
"20950","Jade","Jade","1995"
"20951","10 Items or Less","Une star dans ma vie","2006"
"20952","The Holiday","The Holiday","2006"
"20953","Down Periscope","Touche pas à mon périscope","1996"
"20954","Rebecca of Sunnybrook Farm","Petit Démon","1938"
"20955","Man of the Year","Man of the Year","1995"
"20956","Up Close and Personal","Personnel et confidentiel","1996"
"20957","The Birdcage","Birdcage","1996"
"20958","The Brothers McMullen","The Brothers McMullen","1995"
"20959","Bad Boys","Bad Boys","1995"
"20960","The Amazing Panda Adventure","Au secours du petit panda","1995"
"20961","Carrie","Carrie au bal du diable","2002"
"20962","The Basketball Diaries","Basketball Diaries","1995"
"20963","Luna de Avellaneda","Luna de Avellaneda","2004"
"20964","Underworld: Rise of the Lycans","Underworld 3 : Le Soulèvement des Lycans","2009"
"20965","An Awfully Big Adventure","An Awfully Big Adventure","1995"
"20966","Inkheart","Cœur d'encre","2008"
"20967","Amateur","Amateur","1994"
"20968","Apollo 13","Apollo 13","1995"
"20969","Rob Roy","Rob Roy","1995"
"20970","The Addiction","The Addiction","1995"
"20971","Batman Forever","Batman Forever","1995"
"20972","Beauty of the Day","Belle de Jour","1967"
"20973","Beyond Rangoon","Rangoon","1995"
"20974","Baby Take a Bow","La P'tite Shirley","1934"
"20975","Blue in the Face","Brooklyn Boogie","1995"
"20976","Canadian Bacon","Canadian Bacon","1995"
"20977","Casper","Casper","1995"
"20978","Clockers","Clockers","1995"
"20979","Congo","Congo","1995"
"20980","Crimson Tide","USS Alabama","1995"
"20981","Crumb","Crumb","1994"
"20982","Harsh Times","Bad Times","2006"
"20983","Desperado","Desperado","1995"
"20984","Devil in a Blue Dress","Le Diable en robe bleue","1995"
"20985","Die Hard: With a Vengeance","Une journée en enfer","1995"
"20986","The Doom Generation","The Doom Generation","1995"
"20987","Feast of July","Feast of July","1995"
"20988","First Knight","Lancelot, le premier chevalier","1995"
"20989","The Sleeping Car Murders","Compartiment tueurs","1965"
"20990","Free Willy 2: The Adventure Home","Sauvez Willy 2","1995"
