airline_id	airline_name	country	airline_iata	airline_icao	alias
3	1Time Airline	South Africa	1T	RNX	null
10	40-Mile Air	United States	Q5	MLA	null
13	Ansett Australia	Australia	AN	AAA	null
14	Abacus International	Singapore	1B	null	null
21	Aigle Azur	France	ZI	AAF	null
22	Aloha Airlines	United States	AQ	AAH	null
24	American Airlines	United States	AA	AAL	null
28	Asiana Airlines	Republic of Korea	OZ	AAR	null
29	Askari Aviation	Pakistan	4K	AAS	null
32	Afriqiyah Airways	Libya	8U	AAW	null
35	Allegiant Air	United States	G4	AAY	null
42	ABSA - Aerolinhas Brasileiras	Brazil	M3	TUS	null
55	Astral Aviation	Kenya	8V	ACP	null
68	Air Tindi	Canadian Territories	8T	null	null
72	Ada Air	Albania	ZY	ADE	null
83	Adria Airways	Slovenia	JP	ADR	null
90	Air Europa	Spain	UX	AEA	null
93	Aero Benin	Benin	EM	AEB	null
96	Aegean Airlines	Greece	A3	AEE	null
106	Air Europe	Italy	PE	AEL	null
109	Alaska Central Express	United States	KO	AER	null
110	ACES Colombia	Colombia	null	AES	null
112	Astraeus	United Kingdom	5W	AEU	null
114	Aerosvit Airlines	Ukraine	VV	AEW	null
116	Air Italy	Italy	I9	AEY	null
120	Alliance Airlines	Australia	QQ	UTY	null
125	Ariana Afghan Airlines	Afghanistan	FG	AFG	null
130	Aeroflot Russian Airlines	Russia	SU	AFL	null
132	Air Bosna	Bosnia and Herzegovina	JA	BON	null
137	Air France	France	AF	AFR	null
139	Air Caledonie International	France	SB	ACI	null
146	Air Salone	Sierra Leone	2O	null	null
149	Air Cargo Carriers	United States	2Q	SNC	null
153	Air Namibia	Namibia	SW	NMB	null
165	Aerolitoral	Mexico	5D	SLI	null
174	Air Glaciers	Switzerland	7T	AGV	null
176	Aviogenex	Serbia	null	AGX	null
179	Aeroper	Peru	PL	PLI	null
180	Atlas Blue	Morocco	8A	BMM	null
197	Azerbaijan Airlines	Azerbaijan	J2	AHY	null
198	Avies	Estonia	U3	AIA	null
208	Airblue	Pakistan	ED	ABQ	null
210	Airlift International	United States	null	AIR	null
214	Air Berlin	Germany	AB	BER	null
218	Air India Limited	India	AI	AIC	null
220	Air Bourbon	Reunion	ZB	BUB	null
221	Air Atlanta Icelandic	Iceland	CC	ABD	null
225	Air Tahiti Nui	France	TN	THT	null
231	Arkia Israel Airlines	Israel	IZ	AIZ	null
239	Air Jamaica	Jamaica	JM	AJM	null
240	Air One	Italy	AP	ADH	null
241	Air Sahara	India	S2	RSH	null
242	Air Malta	Malta	KM	AMC	null
250	Air Japan	Japan	NQ	AJX	null
252	Air Korea Co. Ltd.	Republic of Korea	null	AKA	null
263	Air Kiribati	Kiribati	4A	AKL	null
281	America West Airlines	United States	HP	AWE	null
282	Air Wisconsin	United States	ZW	AWI	null
286	Tatarstan Airlines	Russia	U9	TAK	null
287	Allegheny Commuter Airlines	United States	null	ALO	null
295	Air Sunshine	United States	null	RSI	null
299	Air Libert	France	VD	null	null
306	Air Malawi	Malawi	QM	AML	null
312	Air Sicilia	Italy	BM	null	null
315	ATA Airlines	United States	null	AMT	null
316	Air Macau	Macao	NX	AMU	null
317	AMC Airlines	Egypt	null	AMV	null
319	Air Seychelles	Seychelles	HM	SEY	null
321	AeroMéxico	Mexico	AM	AMX	null
324	All Nippon Airways	Japan	NH	ANA	ANA All Nippon Airways
327	Air Nostrum	Spain	YW	ANE	null
328	Air Niugini	Papua New Guinea	PX	ANG	null
329	Air Arabia	United Arab Emirates	G9	ABY	null
330	Air Canada	Canada	AC	ACA	null
333	Air Baltic	Latvia	BT	BTI	null
336	Air Nippon	Japan	EL	ANK	null
338	Airnorth	Australia	TL	ANO	null
341	Air North Charter - Canada	Canada	4N	ANT	null
345	Air New Zealand	New Zealand	NZ	ANZ	null
371	Alitalia Express	Italy	XM	SMX	null
386	Aero Flight	Germany	GV	ARF	null
397	Arrow Air	United States	JW	APW	null
410	Aerocondor	Portugal	2B	ARD	null
411	Aires	S.A.	4C	ARE	null
412	Aerolineas Argentinas	Argentina	AR	ARG	null
439	Alaska Airlines	ALASKA	AS	ASA	null
442	Air Sinai	Egypt	4D	ASD	null
452	Atlantic Southeast Airlines	United States	EV	ASQ	null
462	Astrakhan Airlines	Russia	OB	ASZ	null
465	Air Tanzania	Tanzania	TC	ATC	null
470	Air Burkina	Burkina Faso	2J	VBW	null
476	Airlines Of Tasmania	Australia	FO	ATM	null
477	Air Saint Pierre	France	PJ	SPM	null
491	Austrian Airlines	Austria	OS	AUA	null
492	Air Southwest	United Kingdom	null	WOW	null
493	Augsburg Airways	Germany	IQ	AUB	null
497	ATUR	Ecuador	null	TUR	null
502	Abu Dhabi Amiri Flight	United Arab Emirates	MO	AUH	null
503	Aeroflot-Nord	Russia	5N	AUL	null
508	Aurigny Air Services	United Kingdom	GR	AUR	null
510	Austral Lineas Aereas	Argentina	AU	AUT	null
515	Avianca - Aerovias Nacionales de Colombia	AVIANCA	AV	AVA	null
524	Air Vanuatu	Vanuatu	NF	AVN	null
543	Air Bangladesh	Bangladesh	B9	BGD	null
547	Air Mediterranee	France	DR	BIE	null
551	Air Moorea	France	null	TAH	null
563	Aeroline GmbH	Germany	7E	AWU	null
565	Air Wales	United Kingdom	6G	AWW	null
567	Air Caraïbes	France	TX	FWI	null
569	Air India Express	India	IX	AXB	null
575	Air Exel	Netherlands	XT	AXL	null
576	AirAsia	Malaysia	AK	AXM	Air Asia
595	Atlant-Soyuz Airlines	Russia	3G	AYZ	null
596	Alitalia	Italy	AZ	AZA	null
603	Amaszonas	Bolivia	Z8	AZN	null
608	Air Zimbabwe	Zimbabwe	UM	AZW	null
622	Aserca Airlines	Venezuela	R7	OCA	null
641	Rossiya-Russian Airlines	Russia	FV	SDM	Pulkovo Aviation Enterprise
659	American Eagle Airlines	United States	MQ	EGF	null
665	AD Aviation	United Kingdom	null	VUE	null
682	Air Ivoire	Ivory Coast	VU	VUN	null
683	Air Botswana	Botswana	BP	BOT	null
690	Air Foyle	United Kingdom	GS	UPA	null
692	Air Tahiti	French Polynesia	VT	VTA	null
695	Air VIA	Bulgaria	VL	VIM	null
715	Africa West	Togo	FK	WTA	null
724	ATRAN Cargo Airlines	Russian Federation	V8	VAS	null
751	Air China	China	CA	CCA	null
753	Aero Condor Peru	Peru	Q6	CDP	null
787	Air Chathams	New Zealand	CV	CVA	null
788	Air Marshall Islands	Marshall Islands	CW	CWM	null
792	Access Air	United States	ZA	CYD	null
794	Air Algerie	Algeria	AH	DAH	null
800	Adam Air	Indonesia	KI	DHI	null
807	Air Dolomiti	Italy	EN	DLA	null
816	Aeroflot-Don	Russia	D9	DNV	null
817	Air Madrid	Spain	NM	DRD	null
837	Aer Lingus	Ireland	EI	EIN	null
876	Air Finland	Finland	OF	FIF	null
878	Airfix Aviation	Finland	null	FIX	null
879	Air Pacific	Fiji	FJ	FJI	null
881	Atlantic Airways	Faroe Islands	RC	FLI	null
882	Air Florida	United States	QH	FLZ	null
896	Air Iceland	Iceland	NY	FXI	null
897	Air Philippines	Philippines	2P	GAP	null
909	Air Guinee Express	Guinea	2U	GIP	null
921	Air Greenland	Denmark	GL	GRL	null
928	Atlas Air	United States	5Y	GTI	null
931	Air Guyane	French Guiana	GG	GUY	null
970	Air Bagan	Myanmar	W9	JAB	null
983	Air Canada Jazz	Canada	QK	JZA	null
995	Atlasjet	Turkey	KK	KKK	null
998	Air Koryo	Democratic People's Republic of Korea	JS	KOR	null
