airport_id	airport_name	city	country	airport_iata	airport_icao	latitude	longitude
1	Goroka Airport	Goroka	Papua New Guinea	GKA	AYGA	-6.0816898346	145.391998291
2	Madang Airport	Madang	Papua New Guinea	MAG	AYMD	-5.2070798874	145.789001465
3	Mount Hagen Kagamuga Airport	Mount Hagen	Papua New Guinea	HGU	AYMH	-5.826789856	144.296005249
4	Nadzab Airport	Nadzab	Papua New Guinea	LAE	AYNZ	-6.569803	146.725977
5	Port Moresby Jacksons International Airport	Port Moresby	Papua New Guinea	POM	AYPY	-9.4433803558	147.2200012207
6	Wewak International Airport	Wewak	Papua New Guinea	WWK	AYWK	-3.5838301182	143.669006348
7	Narsarsuaq Airport	Narssarssuaq	Greenland	UAK	BGBW	61.1604995728	-45.4259986877
8	Godthaab / Nuuk Airport	Godthaab	Greenland	GOH	BGGH	64.19090271	-51.6781005859
9	Kangerlussuaq Airport	Sondrestrom	Greenland	SFJ	BGSF	67.0122218992	-50.7116031647
10	Thule Air Base	Thule	Greenland	THU	BGTL	76.5311965942	-68.7032012939
11	Akureyri Airport	Akureyri	Iceland	AEY	BIAR	65.6600036621	-18.0727005005
12	Egilsstaðir Airport	Egilsstadir	Iceland	EGS	BIEG	65.2833023071	-14.4013996124
13	Hornafjörður Airport	Hofn	Iceland	HFN	BIHN	64.295601	-15.2272
14	Húsavík Airport	Husavik	Iceland	HZK	BIHU	65.952301	-17.426001
15	Ísafjörður Airport	Isafjordur	Iceland	IFJ	BIIS	66.0580978394	-23.1352996826
16	Keflavik International Airport	Keflavik	Iceland	KEF	BIKF	63.9850006104	-22.6056003571
17	Patreksfjörður Airport	Patreksfjordur	Iceland	PFJ	BIPA	65.555801	-23.965
18	Reykjavik Airport	Reykjavik	Iceland	RKV	BIRK	64.1299972534	-21.9405994415
19	Siglufjörður Airport	Siglufjordur	Iceland	SIJ	BISI	66.133301	-18.9167
20	Vestmannaeyjar Airport	Vestmannaeyjar	Iceland	VEY	BIVM	63.4243011475	-20.2789001465
21	Sault Ste Marie Airport	Sault Sainte Marie	Canada	YAM	CYAM	46.4850006104	-84.5093994141
22	Winnipeg / St. Andrews Airport	Winnipeg	Canada	null	CYAV	50.0564002991	-97.0325012207
23	Halifax / CFB Shearwater Heliport	Halifax	Canada	null	CYAW	44.639702	-63.499401
24	St. Anthony Airport	St. Anthony	Canada	YAY	CYAY	51.3918991089	-56.0830993652
25	Tofino / Long Beach Airport	Tofino	Canada	YAZ	CYAZ	49.079833	-125.775583
26	Kugaaruk Airport	Pelly Bay	Canada	YBB	CYBB	68.534401	-89.808098
27	Baie Comeau Airport	Baie Comeau	Canada	YBC	CYBC	49.1324996948	-68.2043991089
28	CFB Bagotville	Bagotville	Canada	YBG	CYBG	48.3306007385	-70.9963989258
29	Baker Lake Airport	Baker Lake	Canada	YBK	CYBK	64.2988967896	-96.077796936
30	Campbell River Airport	Campbell River	Canada	YBL	CYBL	49.9508018494	-125.2710037231
31	Brandon Municipal Airport	Brandon	Canada	YBR	CYBR	49.91	-99.951897
32	Cambridge Bay Airport	Cambridge Bay	Canada	YCB	CYCB	69.1081008911	-105.138000488
33	Nanaimo Airport	Nanaimo	Canada	YCD	CYCD	49.0549702249	-123.869862556
34	Castlegar/West Kootenay Regional Airport	Castlegar	Canada	YCG	CYCG	49.2963981628	-117.632003784
35	Miramichi Airport	Chatham	Canada	YCH	CYCH	47.007801	-65.449203
36	Charlo Airport	Charlo	Canada	YCL	CYCL	47.990799	-66.330299
37	Kugluktuk Airport	Coppermine	Canada	YCO	CYCO	67.816704	-115.143997
38	Coronation Airport	Coronation	Canada	YCT	CYCT	52.0750007629	-111.444999695
39	Chilliwack Airport	Chilliwack	Canada	YCW	CYCW	49.1528015137	-121.939002991
40	Clyde River Airport	Clyde River	Canada	YCY	CYCY	70.4860992432	-68.5167007446
41	Coral Harbour Airport	Coral Harbour	Canada	YZS	CYZS	64.1932983398	-83.3593978882
42	Dawson City Airport	Dawson	Canada	YDA	CYDA	64.0430984497	-139.1280059814
43	Burwash Airport	Burwash	Canada	YDB	CYDB	61.3711013794	-139.0410003662
44	Princeton Airport	Princeton	Canada	null	CYDC	49.4681015015	-120.511001587
45	Deer Lake Airport	Deer Lake	Canada	YDF	CYDF	49.2108001709	-57.3913993835
46	Dease Lake Airport	Dease Lake	Canada	YDL	CYDL	58.4221992493	-130.031997681
47	Dauphin Barker Airport	Dauphin	Canada	YDN	CYDN	51.1007995605	-100.0520019531
48	Dawson Creek Airport	Dawson Creek	Canada	YDQ	CYDQ	55.7422981262	-120.1829986572
