trip_id	customer_id	flight_number	airline_id	aircraft	airport_src	airport_dst	departure_time	departure_date	flight_duration	travel_class	seat_number	price
0	7529424	ME1045	3490	332	270	2177	10:45	08/06/2010	05:02	business	27D	728
0	7529424	ME0715	3490	332	2177	270	07:15	17/06/2010	05:02	business	42A	728
1	7529424	KL1800	3090	330	273	580	18:00	08/06/2016	06:49	economy	8G	457
1	7529424	KL1915	3090	330	580	273	19:15	05/07/2016	06:49	business	36C	857
2	7529424	AZ0745	596	330	273	1555	07:45	11/01/2018	05:29	business	22A	761
2	7529424	AZ0745	596	330	1555	273	07:45	03/02/2018	05:29	economy	2A	361
3	7529424	W31500	20976	332	273	813	15:00	17/02/2018	06:07	economy	2I	407
3	7529424	W31015	20976	332	813	273	10:15	05/03/2018	06:07	business	32E	807
4	7529424	W30830	20976	73G	273	245	08:30	01/04/2018	00:37	business	36H	409
4	7529424	W31730	20976	73G	245	273	17:30	16/04/2018	00:37	business	33B	409
5	5688420	UG1345	5085	ATR	290	291	13:45	25/04/2016	00:39	business	25J	411
5	5688420	UG1645	5085	ATR	291	290	16:45	16/05/2016	00:39	business	30D	411
6	5688420	AB1145	214	738	7447	338	11:45	04/02/2018	02:36	business	24B	552
6	5688420	AB1245	214	738	338	7447	12:45	12/02/2018	02:36	economy	10A	152
7	5688420	MT2215	4897	752	7447	469	22:15	20/07/2018	03:03	economy	3C	185
7	5688420	MT0630	4897	752	469	7447	06:30	19/08/2018	03:03	business	34J	585
8	5688420	TU2045	4870	319	7447	1678	20:45	30/08/2018	02:05	business	25B	514
8	5688420	TU1045	4870	319	1678	7447	10:45	30/09/2018	02:05	economy	1F	114
9	5688420	UG1100	5085	ATR	291	290	11:00	13/12/2018	00:39	business	27A	411
9	5688420	UG1645	5085	ATR	290	291	16:45	06/01/2019	00:39	economy	3B	11
10	7549035	W61630	5461	320	1517	1657	16:30	26/12/2011	02:23	economy	7A	136
10	7549035	W61745	5461	320	1657	1517	17:45	05/01/2012	02:23	business	27C	536
11	7549035	LH0900	3320	E90	1526	340	09:00	29/05/2017	01:10	economy	10G	48
11	7549035	LH1230	3320	E90	340	1526	12:30	29/06/2017	01:10	business	21F	448
12	7549035	AZ2000	596	E75	1555	1551	20:00	25/03/2018	01:00	business	25F	437
12	7549035	AZ0745	596	E75	1551	1555	07:45	13/04/2018	01:00	business	37C	437
13	7549035	U21130	2297	320	1524	1520	11:30	23/08/2018	01:09	business	23H	447
13	7549035	U21130	2297	320	1520	1524	11:30	04/09/2018	01:09	business	36D	447
14	7549035	FR1030	4296	738	1515	478	10:30	06/10/2018	03:03	economy	6E	185
14	7549035	FR1245	4296	738	478	1515	12:45	24/10/2018	03:03	business	11I	585
15	7549035	W60915	5461	320	1501	1489	09:15	30/10/2018	01:24	business	29C	465
15	7549035	W61800	5461	320	1489	1501	18:00	10/11/2018	01:24	business	25H	465
16	7549035	U21030	2297	320	1561	1354	10:30	24/11/2018	01:19	business	12E	459
16	7549035	U22000	2297	319	1354	1561	20:00	07/12/2018	01:19	business	22I	459
17	4119351	ST1630	2547	321	1688	338	16:30	04/09/2015	03:05	economy	8G	187
17	4119351	ST0645	2547	321	338	1688	06:45	26/09/2015	03:05	economy	8H	187
18	4119351	TK2000	4951	320	1701	5780	20:00	10/07/2018	01:27	business	39J	468
18	4119351	TK2030	4951	738	5780	1701	20:30	05/08/2018	01:27	business	41A	468
19	4119351	TK1230	4951	738	6753	4317	12:30	08/10/2018	01:49	business	11D	495
19	4119351	TK0930	4951	738	4317	6753	09:30	05/11/2018	01:49	economy	9C	95
20	4119351	TK1400	4951	738	1722	1682	14:00	01/12/2018	01:20	business	16H	460
20	4119351	TK1715	4951	738	1682	1722	17:15	28/12/2018	01:20	business	32E	460
21	1297594	OS2230	491	321	1613	351	22:30	09/09/2017	01:10	economy	4I	49
21	1297594	OS2245	491	319	351	1613	22:45	22/09/2017	01:10	economy	2E	49
22	1297594	OS1800	491	320	1613	1196	18:00	14/04/2018	01:46	economy	5F	92
22	1297594	OS2115	491	320	1196	1613	21:15	01/05/2018	01:46	economy	1G	92
23	1297594	HG0830	3661	320	1612	1322	08:30	10/05/2018	01:20	economy	3G	60
23	1297594	HG1115	3661	320	1322	1612	11:15	26/05/2018	01:20	economy	10G	60
24	1297594	OS1715	491	320	1613	1197	17:15	14/11/2018	03:02	economy	10I	183
24	1297594	OS1045	491	320	1197	1613	10:45	02/12/2018	03:02	economy	10E	183
25	1297594	OS0715	491	320	1613	1509	07:15	30/12/2018	01:58	economy	2D	107
25	1297594	OS0745	491	320	1509	1613	07:45	05/01/2019	01:58	business	29D	507
26	9265259	AR1930	412	E90	2517	2442	19:30	04/08/2012	02:05	business	22F	515
26	9265259	AR1245	412	E90	2442	2517	12:45	12/08/2012	02:05	economy	4H	115
27	9265259	AR1800	412	E90	2454	2512	18:00	07/10/2018	01:02	economy	6F	39
27	9265259	AR1800	412	E90	2512	2454	18:00	28/10/2018	01:02	economy	2A	39
28	9265259	8R1845	5188	SF3	2487	2488	18:45	28/12/2018	01:02	business	24E	438
28	9265259	8R2245	5188	SF3	2488	2487	22:45	14/01/2019	01:02	business	14H	438
29	2531752	AT1800	4248	AT7	1074	1072	18:00	17/04/2015	00:38	business	36E	409
29	2531752	AT0830	4248	AT7	1072	1074	08:30	12/05/2015	00:38	economy	6C	9
30	2531752	AT2115	4248	738	5673	580	21:15	08/11/2016	03:00	business	37G	582
30	2531752	AT0630	4248	738	580	5673	06:30	26/11/2016	03:00	business	11H	582
31	2531752	FR0715	4296	738	1075	4198	07:15	24/11/2017	03:37	economy	4F	225
31	2531752	FR2215	4296	738	4198	1075	22:15	10/12/2017	03:37	business	14J	625
32	2531752	FR1015	4296	738	1080	1367	10:15	03/07/2018	02:33	economy	3B	149
32	2531752	FR1430	4296	738	1367	1080	14:30	10/07/2018	02:33	economy	3C	149
33	2531752	FR2130	4296	738	1075	1376	21:30	03/08/2018	02:52	economy	6C	172
33	2531752	FR1515	4296	738	1376	1075	15:15	18/08/2018	02:52	economy	7G	172
34	2531752	FR1215	4296	738	1075	355	12:15	15/12/2018	03:29	economy	1D	216
34	2531752	FR2230	4296	738	355	1075	22:30	15/01/2019	03:29	economy	5E	216
35	3185905	3O2230	9818	320	1066	1359	22:30	11/09/2015	02:08	economy	4J	119
35	3185905	3O2130	9818	320	1359	1066	21:30	27/09/2015	02:08	business	20G	519
36	2445019	KL1215	3090	330	580	1177	12:15	25/05/2013	09:38	business	22A	1061
36	2445019	KL1215	3090	330	1177	580	12:15	30/05/2013	09:38	business	17E	1061
37	2445019	VY2145	2439	320	580	1253	21:45	06/04/2018	02:48	economy	2F	166
37	2445019	VY2230	2439	320	1253	580	22:30	01/05/2018	02:48	business	39D	566
38	2445019	TS1300	1317	310	580	193	13:00	08/09/2018	07:57	economy	4B	539
38	2445019	TS1130	1317	310	193	580	11:30	29/09/2018	07:57	economy	1F	539
39	2445019	W61000	5461	320	585	668	10:00	03/11/2018	01:39	economy	9J	84
39	2445019	W61300	5461	320	668	585	13:00	10/11/2018	01:39	economy	7B	84
40	2445019	MU2145	1758	F70	580	507	21:45	13/12/2018	00:57	economy	7C	33
40	2445019	MU0715	1758	737	507	580	07:15	01/01/2019	00:57	economy	3D	33
41	6719254	AV1545	515	AT7	2715	2716	15:45	06/10/2018	00:54	business	11F	429
41	6719254	AV1045	515	AT7	2716	2715	10:45	12/10/2018	00:54	business	44E	429
42	6719254	AV1215	515	AT7	2741	2709	12:15	29/10/2018	00:57	business	40J	433
42	6719254	AV1415	515	318	2709	2741	14:15	03/11/2018	00:57	business	20I	433
43	6719254	LA1645	3200	320	2709	2895	16:45	07/12/2018	01:43	economy	8C	88
43	6719254	LA1230	3200	320	2895	2709	12:30	26/12/2018	01:43	business	37I	488
44	6719254	9R1100	4691	AT5	6051	2706	11:00	31/12/2018	00:45	business	28A	418
44	6719254	9R1845	4691	AT5	2706	6051	18:45	10/01/2019	00:45	economy	4H	18
45	5862299	LA2045	3200	319	2650	2789	20:45	23/10/2018	03:33	business	26D	621
45	5862299	LA1645	3200	763	2789	2650	16:45	29/10/2018	03:33	economy	6H	221
46	5862299	US1715	5265	763	2650	3576	17:15	15/12/2018	08:46	economy	3C	599
46	5862299	US1730	5265	763	3576	2650	17:30	30/12/2018	08:46	business	17F	999
47	8432369	W31515	20976	73G	276	260	15:15	17/05/2011	01:06	business	28J	444
47	8432369	W30630	20976	73G	260	276	06:30	23/05/2011	01:06	business	22E	444
48	9147185	UN0945	5067	738	2958	8076	09:45	09/03/2018	05:03	economy	6H	329
48	9147185	UN2145	5067	738	8076	2958	21:45	25/03/2018	05:03	business	13C	729
49	9147185	QU0930	2104	735	2988	2945	09:30	04/11/2018	01:52	economy	10E	99
49	9147185	QU1645	2104	735	2945	2988	16:45	17/11/2018	01:52	economy	6F	99
50	9147185	2B2230	410	CR2	4029	6160	22:30	18/12/2018	01:41	economy	3B	85
50	9147185	2B1245	410	CR2	6160	4029	12:45	12/01/2019	01:41	business	24G	485
51	4751486	AM1800	321	E70	1785	1824	18:00	25/08/2010	01:01	economy	1G	37
51	4751486	AM2045	321	E70	1824	1785	20:45	07/09/2010	01:01	economy	2G	37
52	2774932	AT1600	4248	738	1074	1665	16:00	22/10/2010	02:47	business	13C	565
52	2774932	AT2015	4248	738	1665	1074	20:15	19/11/2010	02:47	economy	7I	165
53	5289818	BG0645	1359	738	3093	3076	06:45	28/08/2010	02:16	business	27E	528
53	5289818	BG1200	1359	738	3076	3093	12:00	26/09/2010	02:16	economy	7A	128
54	8128034	MU1715	1758	319	2333	3406	17:15	26/07/2012	01:49	business	35E	495
54	8128034	MU1630	1758	319	3406	2333	16:30	12/08/2012	01:49	business	19D	495
55	8128034	ZH1815	4611	763	2279	3370	18:15	26/09/2015	04:09	business	23G	665
55	8128034	ZH1800	4611	763	3370	2279	18:00	27/10/2015	04:09	business	23H	665
56	8128034	VN1000	5309	330	2279	3199	10:00	18/01/2018	05:07	economy	7G	334
56	8128034	VN1430	5309	777	3199	2279	14:30	30/01/2018	05:07	economy	7D	334
