hotel_id	hotel_name	hotel_address	city	country	hotel_score
0	Hotel Arena	'55, ''s-Gravesandestraat, Oosterparkbuurt, Amsterdam, North Holland, Netherlands, 1092AA, The Netherlands'	Amsterdam	Netherlands	7.7
1	K K Hotel George	'Amsterdam Hotel London, 7, Trebovir Road, Earl''s Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9LS, United Kingdom'	London	United Kingdom	8.5
2	Apex Temple Court Hotel	162, Fleet Street, Temple, City of London, Greater London, England, EC4, United Kingdom	London	United Kingdom	9.2
3	The Park Grand London Paddington	'Park Grand London Paddington, 1, Queen''s Gardens, Paddington, City of Westminster, London, Greater London, England, W2 3BE, United Kingdom'	London	United Kingdom	7.7
4	Monhotel Lounge SPA	'3, Rue d''Argentine, Quartier de Chaillot, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75116, France'	Paris	France	8.4
5	Kube Hotel Ice Bar	'Kube Hotel, 5, Passage Ruelle, Quartier de la Goutte-d''Or, 18th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75018, France'	Paris	France	7.2
6	The Principal London	Kimpton Fitzroy London Hotel, Russell Square, Holborn, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1H 0LH, United Kingdom	London	United Kingdom	8
7	Park Plaza County Hall London	Park Plaza, 1, Addington Street, Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7RY, United Kingdom	London	United Kingdom	8.4
8	One Aldwych	One Aldwych, 1, Aldwych, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2B 4BZ, United Kingdom	London	United Kingdom	9.2
9	Splendid Etoile	1, Avenue Carnot, Quartier des Ternes, 17th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75017, France	Paris	France	8.9
10	Hotel Trianon Rive Gauche	Trianon Rive gauche, Rue de Vaugirard, Quartier de la Sorbonne, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75005, France	Paris	France	8.2
11	InterContinental London Park Lane	'Intercontinental London Park Lane, 17B, Curzon Street, St. James''s, Mayfair, City of Westminster, London, Greater London, England, W1J 5HX, United Kingdom'	London	United Kingdom	8.5
12	Novotel Suites Paris Nord 18 me	Novotel Porte de la Chapelle, 1, Impasse Marteau, Quartier de la Chapelle, 18th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75018, France	Paris	France	7.4
13	Grand Royale London Hyde Park	1, Inverness Terrace, Bayswater, City of Westminster, London, Greater London, England, W2 3JJ, United Kingdom	London	United Kingdom	7.7
14	Milestone Hotel Kensington	Milestone Hotel, Kensington Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5PE, United Kingdom	London	United Kingdom	9.5
15	Crowne Plaza London Kings Cross	'Holiday Inn Kings Cross, 1, King''s Cross Road, Angel, Finsbury, London Borough of Islington, London, Greater London, England, WC1X 9HX, United Kingdom'	London	United Kingdom	8.1
16	Select Hotel	Sélect, Place de la Sorbonne, Quartier de la Sorbonne, 5th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75005, France	Paris	France	8.9
17	H tel De Vend me	Hôtel Vendôme, Place Vendôme, Quartier Vendôme, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France	Paris	France	8.7
18	Pullman Paris Centre Bercy	Hôtel Pullman Paris Bercy, Rue de Libourne, Quartier de Bercy, 12th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75012, France	Paris	France	8.7
19	Gardette Park Hotel	1, Rue du Général Blaise, Quartier Saint-Ambroise, 11th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75011, France	Paris	France	8.2
20	Hotel Panache	1, Rue Geoffroy Marie, Quartier du Faubourg-Montmartre, 9th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75009, France	Paris	France	8.6
21	H tel des Ducs D Anjou	1, Rue Sainte-Opportune, Quartier des Halles, Quartier Les Halles, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France	Paris	France	7.7
